ID,Alpha_Signal,Benchmark_Weight,Industry
@ADYEN1,0.0271428571428571,0.0677923173285756,Software
@AMADE28,-0.0185714285714285,0.0531682717329492,Software
@ASMIN1,0.0328571428571428,0.0266329317653693,HardwarePlus
@ASMLH1,0.03,0.1455303282634613,HardwarePlus
@AVEVA1,0.0128571428571428,0.0104655321145112,Software
@BECHT2,-0.01,0.0064060983558085,Software
@CAPGE1,0.0185714285714285,0.0621680698544127,Software
@DASSA5,0.0042857142857142,0.0538810775833271,Software
@EDENR3,0.0014285714285714,0.0300840407137664,Software
@ERICS13,-0.0128571428571428,0.0392613622934092,HardwarePlus
@HALMA1,-0.0042857142857142,0.020216612140362,HardwarePlus
@HEXAG2,0.0071428571428571,0.0462526721294839,HardwarePlus
@INFIN4,0.0214285714285714,0.0897061215250182,HardwarePlus
@LOGIT6,0.0242857142857142,0.0239423562433713,HardwarePlus
@NEMET1,-0.0071428571428571,0.0065310327257096,Software
@NEXIS3,-0.0242857142857142,0.0106636132616411,Software
@NOKIA1,0.0099999999999999,0.0574998428492718,HardwarePlus
@SAGEG5,-0.0014285714285714,0.0204922124817587,Software
@SAPAG5,-0.0157142857142857,0.1455303282634613,Software
@STMIC3,0.0157142857142857,0.0546610336653514,HardwarePlus
@TEMEN1,-0.0271428571428571,0.0078216021541918,Software
@WORLD202,-0.0214285714285714,0.0212925425547878,Software
